,filename,biomarker,channel_index,fifth_pct,cv_background,snr,dynamic_range,flag
37,LSP12022-B1.ome.tif,HLA-A,38,496.0,0.019255932165139437,233.7431543070365,2270.0,OK
38,LSP12022-B1.ome.tif,CK5,39,495.0,0.011223305488782568,3237.7229915026896,18168.859999999986,OK
0,LSP12022-B5.ome.tif,dna,0,105.0,0.1872264238308569,2418.608709689922,54523.619999999995,OK
1,LSP12022-B5.ome.tif,control488nm,1,276.0,0.026404216018717588,432.2942982816184,3227.0,OK
2,LSP12022-B5.ome.tif,control555nm,2,100.0,0.03649378997662667,223.74365930211826,836.0,WARNING: narrow dynamic range → CLAHE or normalization
3,LSP12022-B5.ome.tif,control647nm,3,406.0,0.01919171866493782,99.79904527556182,790.0,WARNING: narrow dynamic range → CLAHE or normalization
4,LSP12022-B5.ome.tif,dna(2),4,73.0,0.15948280225288994,2424.517380450859,32760.0,OK
5,LSP12022-B5.ome.tif,RNApol2-pS2,5,888.0,0.041029049183417245,243.30065624783452,9230.809999999998,OK
6,LSP12022-B5.ome.tif,pERK,6,366.0,0.1129311880506606,90.73642026538985,4123.0,OK
7,LSP12022-B5.ome.tif,p53,7,480.0,0.10617522397254915,220.78317277035572,12404.809999999998,OK
8,LSP12022-B5.ome.tif,dna(3),8,55.0,0.19862191199874898,2471.031711366269,32159.809999999998,OK
9,LSP12022-B5.ome.tif,Ki67,9,428.0,0.02830242030331649,259.44959532969443,3221.0,OK
10,LSP12022-B5.ome.tif,panCK,10,110.0,0.15154796478041171,497.8512966412915,9734.0,OK
11,LSP12022-B5.ome.tif,CD45,11,2211.0,0.0031108393560811743,117.20038158850609,808.0,WARNING: uniform background → rolling ball subtraction
12,LSP12022-B5.ome.tif,dna(4),12,74.0,0.22350873832276083,2112.5316543115027,41982.619999999995,OK
13,LSP12022-B5.ome.tif,Ecad,13,821.0,0.03247470391703748,158.1340362719702,4336.0,OK
14,LSP12022-B5.ome.tif,aSMA,22,188.0,0.150958166646251,847.1245945146474,27679.619999999995,OK
15,LSP12022-B5.ome.tif,Vim,15,115.0,0.2107374648270084,1575.181633767714,49527.0,OK
16,LSP12022-B5.ome.tif,dna(5),16,55.0,0.1965269524197966,2958.008514376842,38745.04999999999,OK
17,LSP12022-B5.ome.tif,EGFR,17,666.0,0.014961362852873649,544.2142617096665,5492.0,OK
18,LSP12022-B5.ome.tif,pRb,18,144.0,0.029172055128928624,283.81667605398445,1225.0,WARNING: narrow dynamic range → CLAHE or normalization
19,LSP12022-B5.ome.tif,p21,19,1839.0,0.0038971910664622692,175.5388129483215,1261.8099999999977,WARNING: uniform background → rolling ball subtraction
20,LSP12022-B5.ome.tif,dna(6),20,66.0,0.15690815452724974,3186.7719887603207,38684.81,OK
21,LSP12022-B5.ome.tif,CD20,21,481.0,0.04737123783540822,87.81278000914561,2089.8099999999977,OK
22,LSP12022-B5.ome.tif,PD1,23,2216.0,0.006389461948017899,48.12639931368069,685.0,WARNING: uniform background → rolling ball subtraction
23,LSP12022-B5.ome.tif,dna(7),24,58.0,0.16929776963449744,3627.757575910534,42372.23999999999,OK
